XMLType,DigitalCollectionsURLs,UMDM,UMAM,Identifier,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitizedOld,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,Department,CopyrightHolder,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,Sound,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme,SharestreamURLs,FileName,DurationMasters,DurationDerivatives,DataRate,HorizontalPixels,VerticalPixels,VideoStandard,ScanSignal,newid,DateDigitized,Rights
UMDM,,UMDM,,31430004224087,,,,,,,,The Right instrument? [Mendelssohn's Rediscovery of Bach: 2],,,,,,,,"Shows that although the nineteenth century revived music of the European past, it was left largely to the twentieth century to rediscover the instruments for which earlier music had originally been created. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1960,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,added title in brackets; missing blank two seconds at beginning and end; missing broadcast range pixels between frames 17675-18997 (00:12:17.195-00:13:12.333); significant temporal outlier pixels between frames 25728-26666 (00:17:53.072-00:18:32.194); temporal outlier pixels throughout film seem to correspond to dirt and scratches on the celluloid (ESC),,,,,,,,,,,,,,,,,,,31430004224087,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004224087,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=afa7c8acf70a424,lms-026142-0001,00:25:32,00:25:32,,,,,,31430004224087,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004224111,,,,,,,,Religious responses c.2 [ALSO LISTED IN 2.5 + 3],,,,,,,,"Professor Ferguson talks about the nature of religious experience and responses, explores methods of eliciting a religious response by means of the spoken word, by ritual and through visual images. He ends by suggesting that the essential nature of religious response lies in the holy, the numinous and the awesome. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. Some digital jittery-ness in frame line areas. LS // // temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004224111,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004224111,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7c7b5bca088147e,lms-026129-0001,00:23:29,00:23:29,,,,,,31430004224111,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004224285,,,,,,,,Art and artefact. c.1,,,,,,,,Robert Erskine talks about the distinction between the fine and useful arts both in the past and today. He considers how valid this distinction is and some of its implications. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end. Scratches & abrasion may be native artifacts. LS // frames 2775-2783 (00:01:55.741-00:01:56.074) are distorted; significant temporal outlier pixels between frames 11746-12287 (00:08:09.906-00:0832.470); otherwise looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004224285,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004224285,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f99659f38e1d4d8,lms-026106-0001,00:24:28,00:24:28,,,,,,31430004224285,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225068,,,,,,,,Groups I,,,,,,,,"Explains the mathematical definition of group, and introduces its four basic requirements. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/sparkles are probably native artifacts.  LS // temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004225068,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225068,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c1060cccc74a489,lms-026122-0001,00:22:44,00:22:44,,,,,,31430004225068,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004225076,,,,,,,,Groups II,,,,,,,,Illustrates the important 'isomorphism theorem' of groups by considering the particular group Sz of notations and/or rotations and flips by an equilateral triangle. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. Squares on charts appear distorted: possibly did not got through machinery flat on transfer? Sames as noted on 026105. LS // it's possible that the film frames have cupped; frames 6572-6577 (00:04:34.107-00:04:34:316) are distorted; temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004225076,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004225076,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f8638dce77194df,lms-026123-0001,00:25:28,00:25:28,,,,,,31430004225076,2014-12-9,Access restricted to patrons at the University of Maryland.
