XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,ArchivalCollection,Series,Subseries,Box,Item,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=dd09d75bc381436,,bcast-035468-0001,00:19:07,00:19:07,7 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2288,,,,,,,,,,,"Panolpy on Third Rail Radio, WMUC, undated",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Panolpy plays live on Third Rail Radio at WMUC at the University of Maryland, undated.",UniversityArchives,WMUC Archives,,unknown,,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=65f7fb4326ee407,,bcast-035469-0001,00:19:57,00:19:57,8 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2289,,,,,,,,,,,"The Factory Incident live on Third Rail Radio, WMUC, March 14, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"The Factory Incident plays live on Third Rail Radio at WMUC at the University of Maryland, March 14, 2002.",UniversityArchives,WMUC Archives,,2002-03-14,2002-03-14,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=83a4f5ba907f4c9,,bcast-035470-0001,00:28:20,00:28:20,7 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2290,,,,,,,,,,,"Scarlet Letter on Third Rail Radio, WMUC, February 18, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Scarlet Letter plays live on Third Rail Radio at WMUC at the University of Maryland, February 18, 2002.",UniversityArchives,WMUC Archives,,2002-02-18,2002-02-18,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=fc17d842b2c74e3,,bcast-035471-0001,00:24:22,00:24:22,7 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2291,,,,,,,,,,,"North of No South on Third Rail Radio, WMUC, October 10, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"North of No South plays live on Third Rail Radio at WMUC at the University of Maryland, October 10, 2004.",UniversityArchives,WMUC Archives,,2004-10-10,2004-10-10,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=069e2943b144457,,bcast-035473-0001,00:21:32,00:21:32,7 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2292,,,,,,,,,,,"Kiss Kiss Bang Bang on Third Rail Radio, WMUC, March 03, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Kiss Kiss Bang Bang plays live on Third Rail Radio at WMUC at the University of Maryland, March 03, 2002.",UniversityArchives,WMUC Archives,,2002-03-03,2002-03-03,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=8a83fa2ad927497,,bcast-035472-0001,00:26:02,00:26:02,8 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2293,,,,,,,,,,,"The Carl Sonix on Third Rail Radio, WMUC, May 18, 2003",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"The Carl Sonix plays live on Third Rail Radio at WMUC at the University of Maryland, May 18, 2003.",UniversityArchives,WMUC Archives,,2003-05-18,2003-05-18,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=06e2ce99fa744db,,bcast-035474-0001,00:27:12,00:27:12,7 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2294,,,,,,,,,,,"Five Down Below on Third Rail Radio, WMUC, August 04, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Five Down Below plays live on Third Rail Radio at WMUC at the University of Maryland, August 04, 2002.",UniversityArchives,WMUC Archives,,2002-08-04,2002-08-04,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=05c67e6e5cb24d7,,bcast-035475-0001,00:24:10,00:24:10,5 Tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
