XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=22653f04ac164fa,19601003-FB-0003-3Qtr,19601003-FB-0003-3Qtr,00:07:49,00:07:49,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:49 not 00:07:46; burn at 00:01:33-00:01:34,,,,,,,,,
UMDM,,UMDM,,,19601029-FB-1Qtr,,,,,,,,,,,"Football: Maryland (15) vs. South Carolina (0), October 29, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (15) and South Carolina (0) on October 29, 1960",,University Archives,University AlbUM,,1960-10-29,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=2762adb69efa4d5,19601029-FB-1Qtr,19601029-FB-1Qtr,00:08:39,00:08:39,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:39 not 00:08:35,,,,,,,,,
UMDM,,UMDM,,,19601029-FB-2Qtr,,,,,,,,,,,"Football: Maryland (15) vs. South Carolina (0), October 29, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (15) and South Carolina (0) on October 29, 1960",,University Archives,University AlbUM,,1960-10-29,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=c8d7de59aa9146d,19601029-FB-2Qtr,19601029-FB-2Qtr,00:07:40,00:07:40,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:40 not 00:07:36; scratches on left side in first 10 seconds,,,,,,,,,
UMDM,,UMDM,,,19601029-FB-3Qtr,,,,,,,,,,,"Football: Maryland (15) vs. South Carolina (0), October 29, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (15) and South Carolina (0) on October 29, 1960",,University Archives,University AlbUM,,1960-10-29,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=efe49ee76ca3439,19601029-FB-3Qtr,19601029-FB-3Qtr,00:09:42,00:09:42,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:09:42 not 00:09:40,,,,,,,,,
UMDM,,UMDM,,,19601029-FB-4Qtr,,,,,,,,,,,"Football: Maryland (15) vs. South Carolina (0), October 29, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (15) and South Carolina (0) on October 29, 1960",,University Archives,University AlbUM,,1960-10-29,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=f2486908bfbe4b9,19601029-FB-4Qtr,19601029-FB-4Qtr,00:07:48,00:07:48,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:48 not 00:07:45; scratches in first 5 seconds; flash at 00:04:39 and 00:04:41,,,,,,,,,
UMDM,,UMDM,,,1962-FB-0001-High,,,,,,,,,,,"Football: Maryland highlights, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of Maryland football highlights, 1962",,University Archives,University AlbUM,,1905-05-15,,1901-2000,,97-101,,,Box 27,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=b4aa34bef30b4d9,1962-FB-0001-High,1962-FB-0001-High,00:08:58,00:08:58,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:58 not 00:08:55,,,,,,,,,
UMDM,,UMDM,,,19620917-FB-1Qtr,,,,,,,,,,,"Football: Maryland (31) vs. West Virginia (8), September 17, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (31) and West Virginia (8) on September 17, 1962",,University Archives,University AlbUM,,1962-09-17,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=fa6ee5046eb6475,19620917-FB-1Qtr,19620917-FB-1Qtr,00:08:46,00:08:46,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,cut at 00:08:30 and 00:08:34; burn at 00:08:31,,,,,,,,,
UMDM,,UMDM,,,19620917-FB-2Qtr,,,,,,,,,,,"Football: Maryland (31) vs. West Virginia (8), September 17, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (31) and West Virginia (8) on September 17, 1962",,University Archives,University AlbUM,,1962-09-17,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=4aa2cbcaa09946e,19620917-FB-2Qtr,19620917-FB-2Qtr,00:08:17,00:08:17,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:17 not 00:08:11; some scratches not affecting viewability,,,,,,,,,
UMDM,,UMDM,,,19620917-FB-3Qtr,,,,,,,,,,,"Football: Maryland (31) vs. West Virginia (8), September 17, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (31) and West Virginia (8) on September 17, 1962",,University Archives,University AlbUM,,1962-09-17,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=f7093e44e028450,19620917-FB-3Qtr,19620917-FB-3Qtr,00:06:56,00:06:56,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 00:07:06 not 00:06:56; film is fairly light in comparison to others from the same game, but not to the point where viewability is affected",,,,,,,,,
UMDM,,UMDM,,,19620917-FB-4Qtr,,,,,,,,,,,"Football: Maryland (31) vs. West Virginia (8), September 17, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (31) and West Virginia (8) on September 17, 1962",,University Archives,University AlbUM,,1962-09-17,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=226fa984c3de407,19620917-FB-4Qtr,19620917-FB-4Qtr,00:07:31,00:07:31,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:31 not 00:07:28; some spotting,,,,,,,,,
UMDM,,UMDM,,,19621006-FB-1Qtr,,,,,,,,,,,"Football: Maryland (14) vs. North Carolina State (6), October 06, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (14) and North Carolina State (6) on October 06, 1962",,University Archives,University AlbUM,,1962-10-06,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=6a5a141f681a43f,19621006-FB-1Qtr,19621006-FB-1Qtr,00:07:32,00:07:32,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:32 not 00:07:28,,,,,,,,,
UMDM,,UMDM,,,19621006-FB-2Qtr,,,,,,,,,,,"Football: Maryland (14) vs. North Carolina State (6), October 06, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (14) and North Carolina State (6) on October 06, 1962",,University Archives,University AlbUM,,1962-10-06,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=177cd015d9284c5,19621006-FB-2Qtr,19621006-FB-2Qtr,00:08:53,00:08:53,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:53 not 00:08:50,,,,,,,,,
UMDM,,UMDM,,,19621006-FB-3Qtr,,,,,,,,,,,"Football: Maryland (14) vs. North Carolina State (6), October 06, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (14) and North Carolina State (6) on October 06, 1962",,University Archives,University AlbUM,,1962-10-06,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=f4990b2e37ac491,19621006-FB-3Qtr,19621006-FB-3Qtr,00:07:21,00:07:21,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:21 not 00:07:13,,,,,,,,,
UMDM,,UMDM,,,19621006-FB-4Qtr,,,,,,,,,,,"Football: Maryland (14) vs. North Carolina State (6), October 06, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (14) and North Carolina State (6) on October 06, 1962",,University Archives,University AlbUM,,1962-10-06,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=328586e339524a9,19621006-FB-4Qtr,19621006-FB-4Qtr,00:07:56,00:07:56,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 00:07:56 not 00:07:53; film is very dark, could benefit from color correction",,,,,,,,,
UMDM,,UMDM,,,19621013-FB-1Qtr,,,,,,,,,,,"Football: Maryland (31) vs. North Carolina (13), October 13, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (31) and North Carolina (13) on October 13, 1962",,University Archives,University AlbUM,,1962-10-13,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=523b3e48e70f408,19621013-FB-1Qtr,19621013-FB-1Qtr,00:08:26,00:08:26,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:26 not 00:08:23,,,,,,,,,
UMDM,,UMDM,,,19621013-FB-2Qtr,,,,,,,,,,,"Football: Maryland (31) vs. North Carolina (13), October 13, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (31) and North Carolina (13) on October 13, 1962",,University Archives,University AlbUM,,1962-10-13,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=7615469c724c4ce,19621013-FB-2Qtr,19621013-FB-2Qtr,00:08:21,00:08:21,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:21 not 00:08:18,,,,,,,,,
UMDM,,UMDM,,,19621013-FB-3Qtr,,,,,,,,,,,"Football: Maryland (31) vs. North Carolina (13), October 13, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (31) and North Carolina (13) on October 13, 1962",,University Archives,University AlbUM,,1962-10-13,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=58cc4f14002d4c3,19621013-FB-3Qtr,19621013-FB-3Qtr,00:06:34,00:06:34,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:06:34 not 00:06:30,,,,,,,,,
UMDM,,UMDM,,,19621013-FB-4Qtr,,,,,,,,,,,"Football: Maryland (31) vs. North Carolina (13), October 13, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (31) and North Carolina (13) on October 13, 1962",,University Archives,University AlbUM,,1962-10-13,,1901-2000,,97-101,,,Box 28,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=9724f5c06ddc4bb,19621013-FB-4Qtr,19621013-FB-4Qtr,00:09:15,00:09:15,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:09:15 not 00:09:13,,,,,,,,,
UMDM,,UMDM,,,19621019-FB-1Qtr,,,,,,,,,,,"Football: Maryland (24) vs. Miami (28), October 19, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (24) and Miami (28) on October 19, 1962",,University Archives,University AlbUM,,1962-10-19,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=f5fbc1ec7a4244e,19621019-FB-1Qtr,19621019-FB-1Qtr,00:07:12,00:07:12,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:12 not 00:07:08; scratches in first 10 seconds and intermittently throughout,,,,,,,,,
UMDM,,UMDM,,,19621019-FB-2Qtr,,,,,,,,,,,"Football: Maryland (24) vs. Miami (28), October 19, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (24) and Miami (28) on October 19, 1962",,University Archives,University AlbUM,,1962-10-19,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e6fac71d4b2e4c6,19621019-FB-2Qtr,19621019-FB-2Qtr,00:06:25,00:06:25,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:06:25 not 00:06:23,,,,,,,,,
UMDM,,UMDM,,,19621019-FB-3Qtr,,,,,,,,,,,"Football: Maryland (24) vs. Miami (28), October 19, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (24) and Miami (28) on October 19, 1962",,University Archives,University AlbUM,,1962-10-19,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=64f87df13b0344b,19621019-FB-3Qtr,19621019-FB-3Qtr,00:08:43,00:08:43,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"scratches from 00:00:03-00:00:05, intermittent lighting issues inherent; game played at night so stadium lighting causing flashes that are not affecting overall viewability",,,,,,,,,
UMDM,,UMDM,,,19621019-FB-4Qtr,,,,,,,,,,,"Football: Maryland (24) vs. Miami (28), October 19, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (24) and Miami (28) on October 19, 1962",,University Archives,University AlbUM,,1962-10-19,,1901-2000,,97-101,,,Box 30,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=7a09aa68bca54c3,19621019-FB-4Qtr,19621019-FB-4Qtr,00:08:19,00:08:19,,,,2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:19 not 00:08:16; scratches in first 10 seconds; stadium lights cause intermittent flashes not affecting overall viewability,,,,,,,,,
UMDM,,UMDM,,,19621103-FB-1Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Penn State (23), November 03, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (7) and Penn State (23) on November 03, 1962",,University Archives,University AlbUM,,1962-11-03,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=ae6ab3f1508f49c,19621103-FB-1Qtr,19621103-FB-1Qtr,00:07:44,00:07:44,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 00:07:44 not 00:07:45; appears to be a game played during snow, so the film is blurry and dark from the snowfall and cloudy conditions, but inherent and not fixable; burn at 00:04:02",,,,,,,,,
UMDM,,UMDM,,,19621103-FB-2Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Penn State (23), November 03, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (7) and Penn State (23) on November 03, 1962",,University Archives,University AlbUM,,1962-11-03,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=d3960c32bbeb401,19621103-FB-2Qtr,19621103-FB-2Qtr,00:09:58,00:09:58,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:09:58 not 00:09:56; same game as footage above so same weather-related notes; tear at 00:08:08; perforation at 00:09:08,,,,,,,,,
UMDM,,UMDM,,,19621103-FB-3Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Penn State (23), November 03, 1962",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (7) and Penn State (23) on November 03, 1962",,University Archives,University AlbUM,,1962-11-03,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=6fd171098fe54d9,19621103-FB-3Qtr,19621103-FB-3Qtr,00:07:04,00:07:04,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:04 not 00:07:01; same game as footage above so same weather-related notes,,,,,,,,,
