XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,19541106-FB-3Qtr,,,,,,,,,,,"Football: Maryland (42) vs. NC State (14), November 06, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (42) and NC State (14) on November 06, 1954",,University Archives,University AlbUM,,1954-11-06,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=570117babe5549c,19541106-FB-3Qtr,19541106-FB-3Qtr,00:11:57,00:11:57,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:11:57 not 00:1:53; this is the rest of the third quarter and the fourth; footage of very poor quality from 1910 cut in from 00:02:23-00:03:03,,,,,,,,,
UMDM,,UMDM,,,19541120-FB-0001-1Qtr,,,,,,,,,,,"Football: Maryland (48) vs. George Washington (6), November 20, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (48) and George Washington (6) on November 20, 1954",,University Archives,University AlbUM,,1954-11-20,,1901-2000,,2010-152,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e3c6fff11b404c2,19541120-FB-0001-1Qtr,19541120-FB-0001-1Qtr,00:10:58,00:10:58,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 10:58 not 00:10:53; inherent film damage throughout, does not affect viewability; heavy damage at 00:10:53",,,,,,,,,
UMDM,,UMDM,,,19541120-FB-0002-2Qtr,,,,,,,,,,,"Football: Maryland (48) vs. George Washington (6), November 20, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (48) and George Washington (6) on November 20, 1954",,University Archives,University AlbUM,,1954-11-20,,1901-2000,,2010-152,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=d139b0596ed9486,19541120-FB-0002-2Qtr,19541120-FB-0002-2Qtr,00:11:08,00:11:08,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:11:08 not 00:11:11; film is dark and needs some color correction // I think this passes (ESC),,,,,,,,,
UMDM,,UMDM,,,19541120-FB-0003-3Qtr,,,,,,,,,,,"Football: Maryland (48) vs. George Washington (6), November 20, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (48) and George Washington (6) on November 20, 1954",,University Archives,University AlbUM,,1954-11-20,,1901-2000,,2010-152,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=2d38ed6d5f414d7,19541120-FB-0003-3Qtr,19541120-FB-0003-3Qtr,00:10:48,00:10:48,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:10:48 not 00:10:45; film is dark and needs some color correction; out of focus near the end // I think this passes (ESC),,,,,,,,,
UMDM,,UMDM,,,19541120-FB-0004-4Qtr,,,,,,,,,,,"Football: Maryland (48) vs. George Washington (6), November 20, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (48) and George Washington (6) on November 20, 1954",,University Archives,University AlbUM,,1954-11-20,,1901-2000,,2010-152,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e22a564f356440f,19541120-FB-0004-4Qtr,19541120-FB-0004-4Qtr,00:03:19,00:03:19,,,,2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:03:19 not 00:03:18; film is dark and needs some color correction // I think this passes (ESC),,,,,,,,,
